group,element,private_creator,vr,vm,keyword,name,description,retired,vendors,sources
0008,1163,,FD,2,TimeRange,Time Range,,N,standard,PS3.6
0008,1164,,SQ,1,FrameExtractionSequence,Frame Extraction Sequence,,N,standard,PS3.6
0008,1167,,UI,1,MultiFrameSourceSOPInstanceUID,Multi-frame Source SOP Instance UID,,N,standard,PS3.6
0008,1190,,UR,1,RetrieveURL,Retrieve URL,,N,standard,PS3.6
0008,1195,,UI,1,TransactionUID,Transaction UID,,N,standard,PS3.6
0008,1196,,US,1,WarningReason,Warning Reason,,N,standard,PS3.6
0008,1197,,US,1,FailureReason,Failure Reason,,N,standard,PS3.6
0008,1198,,SQ,1,FailedSOPSequence,Failed SOP Sequence,,N,standard,PS3.6
0008,1199,,SQ,1,ReferencedSOPSequence,Referenced SOP Sequence,,N,standard,PS3.6
0008,119A,,SQ,1,OtherFailuresSequence,Other Failures Sequence,,N,standard,PS3.6
0008,119B,,SQ,1,FailedStudySequence,Failed Study Sequence,,N,standard,PS3.6
0008,1200,,SQ,1,StudiesContainingOtherReferencedInstancesSequence,Studies Containing Other Referenced Instances Sequence,,N,standard,PS3.6
0008,1250,,SQ,1,RelatedSeriesSequence,Related Series Sequence,,N,standard,PS3.6
0008,2110,,CS,1,LossyImageCompressionRetired,Lossy Image Compression (Retired),,Y,standard,PS3.6
0008,2111,,ST,1,DerivationDescription,Derivation Description,,N,standard,PS3.6
0008,2112,,SQ,1,SourceImageSequence,Source Image Sequence,,N,standard,PS3.6
0008,2120,,SH,1,StageName,Stage Name,,N,standard,PS3.6
0008,2122,,IS,1,StageNumber,Stage Number,,N,standard,PS3.6
0008,2124,,IS,1,NumberOfStages,Number of Stages,,N,standard,PS3.6
0008,2127,,SH,1,ViewName,View Name,,N,standard,PS3.6
0008,2128,,IS,1,ViewNumber,View Number,,N,standard,PS3.6
0008,2129,,IS,1,NumberOfEventTimers,Number of Event Timers,,N,standard,PS3.6
0008,212A,,IS,1,NumberOfViewsInStage,Number of Views in Stage,,N,standard,PS3.6
0008,2130,,DS,1-n,EventElapsedTimes,Event Elapsed Time(s),,N,standard,PS3.6
0008,2132,,LO,1-n,EventTimerNames,Event Timer Name(s),,N,standard,PS3.6
0008,2133,,SQ,1,EventTimerSequence,Event Timer Sequence,,N,standard,PS3.6
0008,2134,,FD,1,EventTimeOffset,Event Time Offset,,N,standard,PS3.6
0008,2135,,SQ,1,EventCodeSequence,Event Code Sequence,,N,standard,PS3.6
0008,2142,,IS,1,StartTrim,Start Trim,,N,standard,PS3.6
0008,2143,,IS,1,StopTrim,Stop Trim,,N,standard,PS3.6
0008,2144,,IS,1,RecommendedDisplayFrameRate,Recommended Display Frame Rate,,N,standard,PS3.6
0008,2200,,CS,1,TransducerPosition,Transducer Position,,Y,standard,PS3.6
0008,2204,,CS,1,TransducerOrientation,Transducer Orientation,,Y,standard,PS3.6
0008,2208,,CS,1,AnatomicStructure,Anatomic Structure,,Y,standard,PS3.6
0008,2218,,SQ,1,AnatomicRegionSequence,Anatomic Region Sequence,,N,standard,PS3.6
0008,2220,,SQ,1,AnatomicRegionModifierSequence,Anatomic Region Modifier Sequence,,N,standard,PS3.6
0008,2228,,SQ,1,PrimaryAnatomicStructureSequence,Primary Anatomic Structure Sequence,,N,standard,PS3.6
